info face="GameFont" size=32 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1
char id=59 x=401 y=63 width=18 height=45 xoffset=0 yoffset=20 xadvance=19 page=0 chnl=0 letter=";"
char id=60 x=374 y=324 width=26 height=31 xoffset=0 yoffset=22 xadvance=27 page=0 chnl=0 letter="<"
char id=61 x=308 y=326 width=31 height=25 xoffset=0 yoffset=26 xadvance=32 page=0 chnl=0 letter="="
char id=62 x=374 y=289 width=27 height=34 xoffset=0 yoffset=20 xadvance=28 page=0 chnl=0 letter=">"
char id=63 x=308 y=272 width=35 height=53 xoffset=0 yoffset=7 xadvance=36 page=0 chnl=0 letter="?"
char id=64 x=0 y=176 width=57 height=58 xoffset=0 yoffset=5 xadvance=58 page=0 chnl=0 letter="@"
char id=65 x=105 y=53 width=44 height=50 xoffset=0 yoffset=10 xadvance=45 page=0 chnl=0 letter="A"
char id=66 x=193 y=219 width=39 height=53 xoffset=0 yoffset=7 xadvance=40 page=0 chnl=0 letter="B"
char id=67 x=192 y=0 width=41 height=52 xoffset=0 yoffset=8 xadvance=42 page=0 chnl=0 letter="C"
char id=68 x=149 y=323 width=43 height=55 xoffset=0 yoffset=7 xadvance=44 page=0 chnl=0 letter="D"
char id=69 x=192 y=53 width=40 height=55 xoffset=0 yoffset=7 xadvance=41 page=0 chnl=0 letter="E"
char id=70 x=232 y=273 width=38 height=55 xoffset=0 yoffset=7 xadvance=39 page=0 chnl=0 letter="F"
char id=71 x=103 y=280 width=45 height=54 xoffset=0 yoffset=7 xadvance=46 page=0 chnl=0 letter="G"
char id=72 x=103 y=335 width=45 height=53 xoffset=0 yoffset=7 xadvance=46 page=0 chnl=0 letter="H"
char id=73 x=234 y=0 width=36 height=51 xoffset=0 yoffset=9 xadvance=37 page=0 chnl=0 letter="I"
char id=74 x=149 y=379 width=42 height=54 xoffset=0 yoffset=9 xadvance=43 page=0 chnl=0 letter="J"
char id=75 x=232 y=329 width=38 height=55 xoffset=0 yoffset=7 xadvance=39 page=0 chnl=0 letter="K"
char id=76 x=271 y=217 width=37 height=54 xoffset=0 yoffset=7 xadvance=38 page=0 chnl=0 letter="L"
char id=77 x=0 y=291 width=53 height=54 xoffset=0 yoffset=7 xadvance=54 page=0 chnl=0 letter="M"
char id=78 x=0 y=346 width=51 height=54 xoffset=0 yoffset=7 xadvance=52 page=0 chnl=0 letter="N"
char id=79 x=52 y=346 width=50 height=52 xoffset=0 yoffset=9 xadvance=51 page=0 chnl=0 letter="O"
char id=80 x=272 y=151 width=35 height=53 xoffset=0 yoffset=7 xadvance=36 page=0 chnl=0 letter="P"
char id=81 x=0 y=56 width=58 height=63 xoffset=0 yoffset=9 xadvance=59 page=0 chnl=0 letter="Q"
char id=82 x=192 y=109 width=40 height=53 xoffset=0 yoffset=7 xadvance=41 page=0 chnl=0 letter="R"
char id=83 x=103 y=228 width=45 height=51 xoffset=0 yoffset=10 xadvance=46 page=0 chnl=0 letter="S"
char id=84 x=54 y=235 width=48 height=51 xoffset=0 yoffset=9 xadvance=49 page=0 chnl=0 letter="T"
char id=85 x=65 y=0 width=45 height=52 xoffset=0 yoffset=9 xadvance=46 page=0 chnl=0 letter="U"
char id=86 x=106 y=159 width=43 height=53 xoffset=0 yoffset=7 xadvance=44 page=0 chnl=0 letter="V"
char id=87 x=0 y=0 width=64 height=55 xoffset=0 yoffset=7 xadvance=65 page=0 chnl=0 letter="W"
char id=88 x=58 y=174 width=47 height=53 xoffset=0 yoffset=7 xadvance=48 page=0 chnl=0 letter="X"
char id=89 x=106 y=104 width=43 height=54 xoffset=0 yoffset=7 xadvance=44 page=0 chnl=0 letter="Y"
char id=90 x=58 y=120 width=47 height=53 xoffset=0 yoffset=8 xadvance=48 page=0 chnl=0 letter="Z"
char id=91 x=400 y=356 width=24 height=62 xoffset=0 yoffset=9 xadvance=25 page=0 chnl=0 letter="["
char id=92 x=340 y=326 width=33 height=56 xoffset=0 yoffset=7 xadvance=34 page=0 chnl=0 letter="\"
char id=93 x=377 y=0 width=24 height=62 xoffset=0 yoffset=9 xadvance=25 page=0 chnl=0 letter="]"
char id=94 x=59 y=96 width=32 height=21 xoffset=0 yoffset=3 xadvance=33 page=0 chnl=0 letter="^"
char id=95 x=0 y=401 width=48 height=11 xoffset=0 yoffset=58 xadvance=49 page=0 chnl=0 letter="_"
char id=96 x=308 y=352 width=21 height=20 xoffset=0 yoffset=4 xadvance=22 page=0 chnl=0 letter="`"
char id=97 x=193 y=328 width=36 height=39 xoffset=0 yoffset=22 xadvance=37 page=0 chnl=0 letter="a"
char id=98 x=193 y=273 width=38 height=54 xoffset=0 yoffset=6 xadvance=39 page=0 chnl=0 letter="b"
char id=99 x=308 y=58 width=34 height=39 xoffset=0 yoffset=22 xadvance=35 page=0 chnl=0 letter="c"
char id=100 x=233 y=217 width=37 height=54 xoffset=0 yoffset=6 xadvance=38 page=0 chnl=0 letter="d"
char id=101 x=154 y=0 width=37 height=38 xoffset=0 yoffset=22 xadvance=38 page=0 chnl=0 letter="e"
char id=102 x=309 y=207 width=34 height=58 xoffset=0 yoffset=6 xadvance=35 page=0 chnl=0 letter="f"
char id=103 x=271 y=272 width=36 height=53 xoffset=0 yoffset=22 xadvance=37 page=0 chnl=0 letter="g"
char id=104 x=272 y=0 width=35 height=55 xoffset=0 yoffset=6 xadvance=36 page=0 chnl=0 letter="h"
char id=105 x=401 y=109 width=15 height=51 xoffset=0 yoffset=9 xadvance=16 page=0 chnl=0 letter="i"
char id=106 x=374 y=170 width=28 height=65 xoffset=0 yoffset=10 xadvance=29 page=0 chnl=0 letter="j"
char id=107 x=272 y=56 width=35 height=54 xoffset=0 yoffset=6 xadvance=36 page=0 chnl=0 letter="k"
char id=108 x=403 y=229 width=14 height=54 xoffset=0 yoffset=6 xadvance=15 page=0 chnl=0 letter="l"
char id=109 x=54 y=287 width=48 height=42 xoffset=0 yoffset=21 xadvance=49 page=0 chnl=0 letter="m"
char id=110 x=340 y=383 width=33 height=40 xoffset=0 yoffset=21 xadvance=34 page=0 chnl=0 letter="n"
char id=111 x=272 y=111 width=35 height=39 xoffset=0 yoffset=22 xadvance=36 page=0 chnl=0 letter="o"
char id=112 x=308 y=98 width=34 height=54 xoffset=0 yoffset=21 xadvance=35 page=0 chnl=0 letter="p"
char id=113 x=308 y=153 width=34 height=53 xoffset=0 yoffset=22 xadvance=35 page=0 chnl=0 letter="q"
char id=114 x=343 y=90 width=31 height=39 xoffset=0 yoffset=22 xadvance=32 page=0 chnl=0 letter="r"
char id=115 x=343 y=130 width=31 height=39 xoffset=0 yoffset=22 xadvance=32 page=0 chnl=0 letter="s"
char id=116 x=343 y=40 width=33 height=49 xoffset=0 yoffset=12 xadvance=34 page=0 chnl=0 letter="t"
char id=117 x=343 y=0 width=33 height=39 xoffset=0 yoffset=22 xadvance=34 page=0 chnl=0 letter="u"
char id=118 x=232 y=385 width=35 height=38 xoffset=0 yoffset=22 xadvance=36 page=0 chnl=0 letter="v"
char id=119 x=59 y=56 width=45 height=39 xoffset=0 yoffset=22 xadvance=46 page=0 chnl=0 letter="w"
char id=120 x=103 y=389 width=39 height=38 xoffset=0 yoffset=22 xadvance=40 page=0 chnl=0 letter="x"
char id=121 x=233 y=163 width=38 height=53 xoffset=0 yoffset=22 xadvance=39 page=0 chnl=0 letter="y"
char id=122 x=268 y=385 width=35 height=39 xoffset=0 yoffset=22 xadvance=36 page=0 chnl=0 letter="z"
char id=123 x=344 y=170 width=29 height=64 xoffset=0 yoffset=6 xadvance=30 page=0 chnl=0 letter="{"
char id=124 x=403 y=161 width=15 height=67 xoffset=0 yoffset=3 xadvance=16 page=0 chnl=0 letter="|"
char id=125 x=344 y=235 width=29 height=64 xoffset=0 yoffset=6 xadvance=30 page=0 chnl=0 letter="}"
char id=126 x=0 y=413 width=39 height=20 xoffset=0 yoffset=25 xadvance=40 page=0 chnl=0 letter="~"
char id=32 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=20 page=0 chnl=0 letter=" "
char id=9 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=160 page=0 chnl=0 letter="	"

kernings count=515
kerning first=65  second=39  amount=-7
kerning first=65  second=67  amount=-3
kerning first=65  second=71  amount=-2
kerning first=65  second=79  amount=-3
kerning first=65  second=81  amount=-3
kerning first=65  second=84  amount=-9
kerning first=65  second=85  amount=-3
kerning first=65  second=86  amount=-9
kerning first=65  second=87  amount=-9
kerning first=65  second=89  amount=-9
kerning first=66  second=65  amount=-3
kerning first=66  second=69  amount=-1
kerning first=66  second=76  amount=-1
kerning first=66  second=80  amount=-1
kerning first=66  second=82  amount=-1
kerning first=66  second=85  amount=-1
kerning first=66  second=86  amount=-5
kerning first=66  second=87  amount=-5
kerning first=66  second=89  amount=-5
kerning first=67  second=65  amount=-4
kerning first=67  second=79  amount=-3
kerning first=67  second=82  amount=-1
kerning first=68  second=65  amount=-3
kerning first=68  second=68  amount=-1
kerning first=68  second=69  amount=-1
kerning first=68  second=73  amount=-4
kerning first=68  second=76  amount=-1
kerning first=68  second=77  amount=-1
kerning first=68  second=78  amount=-1
kerning first=68  second=79  amount=-1
kerning first=68  second=80  amount=-1
kerning first=68  second=82  amount=-1
kerning first=68  second=85  amount=-1
kerning first=68  second=86  amount=-5
kerning first=68  second=87  amount=-6
kerning first=68  second=89  amount=-8
kerning first=69  second=67  amount=-3
kerning first=69  second=79  amount=-3
kerning first=70  second=65  amount=-11
kerning first=70  second=67  amount=-4
kerning first=70  second=71  amount=-4
kerning first=70  second=79  amount=-4
kerning first=70  second=46  amount=-17
kerning first=70  second=44  amount=-18
kerning first=71  second=69  amount=-1
kerning first=71  second=79  amount=-1
kerning first=71  second=82  amount=-1
kerning first=71  second=85  amount=-1
kerning first=72  second=79  amount=-1
kerning first=73  second=67  amount=-3
kerning first=73  second=71  amount=-2
kerning first=73  second=79  amount=-4
kerning first=74  second=65  amount=-12
kerning first=74  second=79  amount=-9
kerning first=75  second=79  amount=-4
kerning first=76  second=39  amount=-16
kerning first=76  second=67  amount=-3
kerning first=76  second=84  amount=-17
kerning first=76  second=86  amount=-11
kerning first=76  second=87  amount=-11
kerning first=76  second=89  amount=-11
kerning first=76  second=71  amount=-2
kerning first=76  second=79  amount=-4
kerning first=76  second=85  amount=-4
kerning first=77  second=71  amount=-2
kerning first=77  second=79  amount=-3
kerning first=78  second=67  amount=-2
kerning first=78  second=71  amount=-2
kerning first=78  second=79  amount=-2
kerning first=79  second=65  amount=-4
kerning first=79  second=66  amount=-2
kerning first=79  second=68  amount=-1
kerning first=79  second=69  amount=-1
kerning first=79  second=70  amount=-1
kerning first=79  second=72  amount=-1
kerning first=79  second=73  amount=-4
kerning first=79  second=75  amount=-1
kerning first=79  second=76  amount=-1
kerning first=79  second=77  amount=-2
kerning first=79  second=78  amount=-1
kerning first=79  second=80  amount=-1
kerning first=79  second=82  amount=-1
kerning first=79  second=84  amount=-4
kerning first=79  second=85  amount=-1
kerning first=79  second=86  amount=-3
kerning first=79  second=87  amount=-3
kerning first=79  second=88  amount=-6
kerning first=79  second=89  amount=-4
kerning first=80  second=65  amount=-10
kerning first=80  second=69  amount=-1
kerning first=80  second=76  amount=-1
kerning first=80  second=79  amount=-3
kerning first=80  second=80  amount=-1
kerning first=80  second=85  amount=-1
kerning first=80  second=89  amount=-2
kerning first=80  second=46  amount=-17
kerning first=80  second=44  amount=-18
kerning first=80  second=59  amount=-4
kerning first=80  second=58  amount=-1
kerning first=81  second=85  amount=-3
kerning first=82  second=67  amount=-3
kerning first=82  second=71  amount=-2
kerning first=82  second=89  amount=-6
kerning first=82  second=84  amount=-6
kerning first=82  second=85  amount=-3
kerning first=82  second=86  amount=-5
kerning first=82  second=87  amount=-5
kerning first=82  second=89  amount=-6
kerning first=83  second=73  amount=-3
kerning first=83  second=77  amount=-1
kerning first=83  second=84  amount=-4
kerning first=83  second=85  amount=-1
kerning first=84  second=65  amount=-19
kerning first=84  second=67  amount=-11
kerning first=84  second=79  amount=-9
kerning first=85  second=65  amount=-5
kerning first=85  second=67  amount=-1
kerning first=85  second=71  amount=-1
kerning first=85  second=79  amount=-1
kerning first=85  second=83  amount=-3
kerning first=86  second=65  amount=-14
kerning first=86  second=67  amount=-8
kerning first=86  second=71  amount=-7
kerning first=86  second=79  amount=-7
kerning first=86  second=83  amount=-9
kerning first=87  second=65  amount=-13
kerning first=87  second=67  amount=-7
kerning first=87  second=71  amount=-6
kerning first=87  second=79  amount=-6
kerning first=89  second=65  amount=-14
kerning first=89  second=67  amount=-7
kerning first=89  second=79  amount=-6
kerning first=89  second=83  amount=-8
kerning first=90  second=79  amount=-4
kerning first=65  second=99  amount=-2
kerning first=65  second=100  amount=-3
kerning first=65  second=101  amount=-2
kerning first=65  second=103  amount=-2
kerning first=65  second=111  amount=-2
kerning first=65  second=112  amount=-1
kerning first=65  second=113  amount=-2
kerning first=65  second=116  amount=-6
kerning first=65  second=117  amount=-2
kerning first=65  second=118  amount=-6
kerning first=65  second=119  amount=-4
kerning first=65  second=121  amount=-6
kerning first=66  second=98  amount=-2
kerning first=66  second=105  amount=-1
kerning first=66  second=107  amount=-1
kerning first=66  second=108  amount=-1
kerning first=66  second=114  amount=-1
kerning first=66  second=117  amount=-1
kerning first=66  second=121  amount=-4
kerning first=66  second=46  amount=-4
kerning first=66  second=44  amount=-7
kerning first=67  second=97  amount=-3
kerning first=67  second=114  amount=-1
kerning first=67  second=46  amount=-4
kerning first=67  second=44  amount=-7
kerning first=68  second=97  amount=-1
kerning first=68  second=46  amount=-4
kerning first=68  second=44  amount=-7
kerning first=69  second=117  amount=-3
kerning first=69  second=118  amount=-4
kerning first=70  second=97  amount=-4
kerning first=70  second=101  amount=-4
kerning first=70  second=105  amount=-2
kerning first=70  second=111  amount=-4
kerning first=70  second=114  amount=-4
kerning first=70  second=116  amount=-5
kerning first=70  second=117  amount=-4
kerning first=70  second=121  amount=-5
kerning first=70  second=46  amount=-17
kerning first=70  second=44  amount=-18
kerning first=70  second=59  amount=-8
kerning first=70  second=58  amount=-5
kerning first=71  second=117  amount=-1
kerning first=72  second=101  amount=-1
kerning first=72  second=111  amount=-1
kerning first=72  second=117  amount=-1
kerning first=72  second=121  amount=-1
kerning first=73  second=99  amount=-2
kerning first=73  second=100  amount=-3
kerning first=73  second=113  amount=-2
kerning first=73  second=111  amount=-2
kerning first=73  second=116  amount=-10
kerning first=74  second=97  amount=-11
kerning first=74  second=101  amount=-11
kerning first=74  second=111  amount=-11
kerning first=74  second=117  amount=-11
kerning first=74  second=46  amount=-12
kerning first=74  second=44  amount=-15
kerning first=75  second=101  amount=-2
kerning first=75  second=111  amount=-2
kerning first=75  second=117  amount=-2
kerning first=76  second=117  amount=-2
kerning first=76  second=121  amount=-11
kerning first=77  second=97  amount=-2
kerning first=77  second=99  amount=-2
kerning first=77  second=100  amount=-3
kerning first=77  second=101  amount=-2
kerning first=77  second=111  amount=-2
kerning first=78  second=117  amount=-1
kerning first=78  second=97  amount=-2
kerning first=78  second=101  amount=-2
kerning first=78  second=105  amount=-1
kerning first=78  second=111  amount=-2
kerning first=78  second=117  amount=-1
kerning first=78  second=46  amount=-2
kerning first=78  second=44  amount=-5
kerning first=79  second=97  amount=-1
kerning first=79  second=98  amount=-2
kerning first=79  second=104  amount=-1
kerning first=79  second=107  amount=-2
kerning first=79  second=108  amount=-1
kerning first=79  second=46  amount=-7
kerning first=79  second=44  amount=-10
kerning first=80  second=97  amount=-3
kerning first=80  second=101  amount=-3
kerning first=80  second=111  amount=-3
kerning first=82  second=100  amount=-3
kerning first=82  second=101  amount=-2
kerning first=82  second=111  amount=-2
kerning first=82  second=116  amount=-3
kerning first=82  second=117  amount=-2
kerning first=83  second=105  amount=-1
kerning first=83  second=112  amount=-1
kerning first=83  second=117  amount=-1
kerning first=83  second=46  amount=-3
kerning first=83  second=44  amount=-6
kerning first=84  second=97  amount=-19
kerning first=84  second=99  amount=-19
kerning first=84  second=101  amount=-19
kerning first=84  second=105  amount=-2
kerning first=84  second=111  amount=-19
kerning first=84  second=114  amount=-19
kerning first=84  second=115  amount=-19
kerning first=84  second=117  amount=-19
kerning first=84  second=119  amount=-19
kerning first=84  second=121  amount=-19
kerning first=84  second=46  amount=-17
kerning first=84  second=44  amount=-18
kerning first=84  second=59  amount=-19
kerning first=84  second=58  amount=-16
kerning first=85  second=97  amount=-1
kerning first=85  second=103  amount=-2
kerning first=85  second=109  amount=-1
kerning first=85  second=110  amount=-1
kerning first=85  second=112  amount=-1
kerning first=85  second=115  amount=-2
kerning first=85  second=46  amount=-8
kerning first=85  second=44  amount=-11
kerning first=86  second=97  amount=-8
kerning first=86  second=101  amount=-8
kerning first=86  second=105  amount=-2
kerning first=86  second=111  amount=-8
kerning first=86  second=114  amount=-5
kerning first=86  second=117  amount=-5
kerning first=86  second=46  amount=-15
kerning first=86  second=44  amount=-18
kerning first=86  second=59  amount=-8
kerning first=86  second=58  amount=-5
kerning first=87  second=100  amount=-7
kerning first=87  second=105  amount=-2
kerning first=87  second=109  amount=-4
kerning first=87  second=114  amount=-4
kerning first=87  second=116  amount=-4
kerning first=87  second=117  amount=-4
kerning first=87  second=121  amount=-4
kerning first=87  second=46  amount=-15
kerning first=87  second=44  amount=-18
kerning first=87  second=59  amount=-7
kerning first=87  second=58  amount=-4
kerning first=88  second=97  amount=-2
kerning first=88  second=101  amount=-2
kerning first=88  second=111  amount=-2
kerning first=88  second=117  amount=-2
kerning first=88  second=121  amount=-7
kerning first=89  second=100  amount=-8
kerning first=89  second=101  amount=-8
kerning first=89  second=105  amount=-2
kerning first=89  second=112  amount=-4
kerning first=89  second=117  amount=-4
kerning first=89  second=118  amount=-4
kerning first=89  second=46  amount=-17
kerning first=89  second=44  amount=-18
kerning first=89  second=59  amount=-7
kerning first=89  second=58  amount=-4
kerning first=97  second=99  amount=-2
kerning first=97  second=100  amount=-3
kerning first=97  second=101  amount=-2
kerning first=97  second=103  amount=-2
kerning first=97  second=112  amount=-1
kerning first=97  second=102  amount=-4
kerning first=97  second=116  amount=-4
kerning first=97  second=117  amount=-2
kerning first=97  second=118  amount=-4
kerning first=97  second=119  amount=-3
kerning first=97  second=121  amount=-4
kerning first=97  second=112  amount=-1
kerning first=98  second=108  amount=-1
kerning first=98  second=114  amount=-1
kerning first=98  second=117  amount=-1
kerning first=98  second=121  amount=-2
kerning first=98  second=46  amount=-3
kerning first=98  second=44  amount=-6
kerning first=99  second=97  amount=-2
kerning first=99  second=104  amount=-1
kerning first=99  second=107  amount=-1
kerning first=100  second=97  amount=-1
kerning first=100  second=99  amount=-2
kerning first=100  second=101  amount=-1
kerning first=100  second=103  amount=-2
kerning first=100  second=111  amount=-1
kerning first=100  second=116  amount=-1
kerning first=100  second=117  amount=-1
kerning first=100  second=118  amount=-1
kerning first=100  second=119  amount=-1
kerning first=100  second=121  amount=-1
kerning first=100  second=46  amount=-2
kerning first=100  second=44  amount=-5
kerning first=101  second=97  amount=-2
kerning first=101  second=105  amount=-1
kerning first=101  second=108  amount=-1
kerning first=101  second=109  amount=-1
kerning first=101  second=110  amount=-1
kerning first=101  second=112  amount=-1
kerning first=101  second=114  amount=-1
kerning first=101  second=116  amount=-4
kerning first=101  second=117  amount=-2
kerning first=101  second=118  amount=-4
kerning first=101  second=119  amount=-3
kerning first=101  second=121  amount=-4
kerning first=101  second=46  amount=-1
kerning first=101  second=44  amount=-4
kerning first=102  second=97  amount=-3
kerning first=102  second=101  amount=-3
kerning first=102  second=102  amount=-2
kerning first=102  second=105  amount=-2
kerning first=102  second=108  amount=-1
kerning first=102  second=111  amount=-3
kerning first=102  second=46  amount=-12
kerning first=102  second=44  amount=-14
kerning first=103  second=97  amount=-1
kerning first=103  second=101  amount=-1
kerning first=103  second=104  amount=-1
kerning first=103  second=108  amount=-1
kerning first=103  second=111  amount=-1
kerning first=103  second=103  amount=-2
kerning first=103  second=46  amount=-2
kerning first=103  second=44  amount=-3
kerning first=104  second=99  amount=-2
kerning first=104  second=100  amount=-2
kerning first=104  second=101  amount=-2
kerning first=104  second=103  amount=-2
kerning first=104  second=111  amount=-2
kerning first=104  second=112  amount=-1
kerning first=104  second=116  amount=-3
kerning first=104  second=117  amount=-2
kerning first=104  second=118  amount=-3
kerning first=104  second=119  amount=-2
kerning first=104  second=121  amount=-3
kerning first=105  second=99  amount=-2
kerning first=105  second=100  amount=-2
kerning first=105  second=101  amount=-2
kerning first=105  second=103  amount=-2
kerning first=105  second=111  amount=-2
kerning first=105  second=112  amount=-2
kerning first=105  second=116  amount=-2
kerning first=105  second=117  amount=-2
kerning first=105  second=118  amount=-2
kerning first=106  second=97  amount=-1
kerning first=106  second=101  amount=-1
kerning first=106  second=111  amount=-1
kerning first=106  second=117  amount=-1
kerning first=106  second=46  amount=-1
kerning first=106  second=44  amount=-1
kerning first=107  second=97  amount=-2
kerning first=107  second=99  amount=-2
kerning first=107  second=100  amount=-3
kerning first=107  second=101  amount=-2
kerning first=107  second=103  amount=-2
kerning first=107  second=111  amount=-2
kerning first=108  second=97  amount=-1
kerning first=108  second=99  amount=-1
kerning first=108  second=100  amount=-1
kerning first=108  second=101  amount=-1
kerning first=108  second=102  amount=-1
kerning first=108  second=103  amount=-1
kerning first=108  second=111  amount=-1
kerning first=108  second=112  amount=-1
kerning first=108  second=113  amount=-1
kerning first=108  second=117  amount=-1
kerning first=108  second=118  amount=-1
kerning first=108  second=119  amount=-1
kerning first=108  second=121  amount=-1
kerning first=109  second=97  amount=-1
kerning first=109  second=99  amount=-1
kerning first=109  second=100  amount=-1
kerning first=109  second=101  amount=-1
kerning first=109  second=103  amount=-1
kerning first=109  second=110  amount=-1
kerning first=109  second=111  amount=-1
kerning first=109  second=112  amount=-1
kerning first=109  second=116  amount=-3
kerning first=109  second=117  amount=-1
kerning first=109  second=118  amount=-3
kerning first=109  second=121  amount=-3
kerning first=110  second=99  amount=-1
kerning first=110  second=100  amount=-1
kerning first=110  second=101  amount=-1
kerning first=110  second=103  amount=-1
kerning first=110  second=111  amount=-1
kerning first=110  second=112  amount=-1
kerning first=110  second=116  amount=-3
kerning first=110  second=117  amount=-1
kerning first=110  second=118  amount=-3
kerning first=110  second=119  amount=-2
kerning first=110  second=121  amount=-3
kerning first=111  second=98  amount=-2
kerning first=111  second=102  amount=-2
kerning first=111  second=104  amount=-1
kerning first=111  second=106  amount=-13
kerning first=111  second=107  amount=-1
kerning first=111  second=108  amount=-1
kerning first=111  second=109  amount=-1
kerning first=111  second=110  amount=-1
kerning first=111  second=112  amount=-1
kerning first=111  second=114  amount=-1
kerning first=111  second=117  amount=-1
kerning first=111  second=118  amount=-2
kerning first=111  second=119  amount=-1
kerning first=111  second=120  amount=-3
kerning first=111  second=121  amount=-2
kerning first=111  second=46  amount=-3
kerning first=111  second=44  amount=-6
kerning first=112  second=97  amount=-1
kerning first=112  second=104  amount=-1
kerning first=112  second=105  amount=-1
kerning first=112  second=108  amount=-1
kerning first=112  second=112  amount=-1
kerning first=112  second=117  amount=-1
kerning first=112  second=46  amount=-2
kerning first=112  second=44  amount=-5
kerning first=113  second=117  amount=-1
kerning first=116  second=46  amount=-11
kerning first=114  second=97  amount=-1
kerning first=114  second=100  amount=-1
kerning first=114  second=101  amount=-1
kerning first=114  second=103  amount=-2
kerning first=114  second=107  amount=-2
kerning first=114  second=108  amount=-1
kerning first=114  second=109  amount=-1
kerning first=114  second=110  amount=-1
kerning first=114  second=111  amount=-1
kerning first=114  second=113  amount=-2
kerning first=114  second=114  amount=-1
kerning first=114  second=116  amount=-1
kerning first=114  second=118  amount=-1
kerning first=114  second=121  amount=-1
kerning first=114  second=46  amount=-17
kerning first=114  second=44  amount=-18
kerning first=115  second=104  amount=-1
kerning first=115  second=116  amount=-2
kerning first=115  second=117  amount=-1
kerning first=115  second=46  amount=-1
kerning first=115  second=44  amount=-4
kerning first=116  second=100  amount=-2
kerning first=116  second=97  amount=-2
kerning first=116  second=101  amount=-2
kerning first=116  second=111  amount=-2
kerning first=116  second=46  amount=-11
kerning first=116  second=44  amount=-14
kerning first=117  second=97  amount=-1
kerning first=117  second=99  amount=-1
kerning first=117  second=100  amount=-1
kerning first=117  second=101  amount=-1
kerning first=117  second=103  amount=-1
kerning first=117  second=111  amount=-1
kerning first=117  second=112  amount=-1
kerning first=117  second=113  amount=-1
kerning first=117  second=116  amount=-1
